acronym,x,y,gc1,gc2,gc3,gc4,bio1,bio2,bio3,bio4,bio8,bio12,bio15,bio18
lla,3041519.3163226717,2350458.2988366513,0.528,0.1967,0.1965,0.0789,10.4416666666667,11.266666666666701,0.459863945578231,4.83772266733642,5.68333333333333,1048.1,34.561312692936596,147
lor,3427540.7892841254,1812853.6252979485,0.251,0.5359,0.1513,0.0618,12.6875,10.975,0.386443661971831,6.269302012766071,9.45,558,45.2337822531566,70.7
bae,3043680.421985086,2383826.341751717,0.4688,0.2283,0.0351,0.2678,12.4791666666667,9.225,0.452205882352941,4.14226872034096,10.7166666666667,1032.3,23.4707426046125,179.4
loz,3161649.8968557175,2092668.3717614096,0.446,0.2912,0.1252,0.1375,8.85416666666667,12.3583333333333,0.397374062165059,6.63244293171259,2.53333333333333,684.3000000000001,39.2940921122013,93.9
lum,3281108.754069607,2213244.7306805537,0.3921,0.3455,0.0488,0.2137,10.5541666666667,11.5583333333333,0.412797619047619,5.9346998979550705,11.983333333333299,533.5,29.296061325199098,91
may,3738266.858933636,2124300.1990853427,0.2899,0.4669,0.038,0.2052,14.762500000000001,10.024999999999999,0.40099999999999997,5.50463131454695,15.8,752.6,30.5955607082122,162.60000000000002
mad,3162426.707834866,2032513.684144554,0.5337,0.152,0.0157,0.2986,13.8291666666667,11.2916666666667,0.373896247240618,6.804258637504939,9.68333333333333,473.1,39.2101398174811,57.599999999999994
ini,3156380.8638014803,2034617.3076598973,0.3835,0.227,0.0954,0.2942,14.3875,11.991666666666701,0.386827956989247,6.79224574590225,10.3666666666667,489.3,40.348585967715294,60.199999999999996
mal,3201791.248746193,2069883.3832899032,0.3202,0.2172,0.3846,0.078,12.2833333333333,12.5,0.395569620253165,6.76952842903515,5.4666666666666694,543.1,38.7518169379152,68.89999999999999
mac,3206315.755076202,2055191.9567940624,0.6721,0.2309,0.035,0.062,13.3375,12.575000000000001,0.397943037974684,6.77502515929579,6.383333333333329,477.29999999999995,35.5780553722217,63.3
mar,3124890.428245013,1942189.0839645355,0.0138,0.0127,0.9533,0.0202,12.6791666666667,13.025,0.38997005988023997,7.2166618552716795,5.4,488.5,39.3924847487269,62.199999999999996
mat,3711442.5993280187,2102684.514147195,0.2178,0.371,0.0372,0.374,15.337499999999999,10.875,0.415076335877863,5.69501875645407,16.4333333333333,767.9000000000001,27.3577573466604,163
mep,3223831.37036708,2302705.3802765985,0.5244,0.2277,0.085,0.1629,11.225000000000001,11.6166666666667,0.443384223918575,5.349830073767,5.76666666666667,733.1,26.427331656310802,120.3
men,3091279.3311976017,1957139.3286921235,0.4466,0.305,0.095,0.1534,14.2916666666667,12.8,0.38787878787878804,7.14546370189868,7.01666666666667,515.4,47.6022539925616,48.9
met,3118749.8903907887,2019954.3018486442,0.3536,0.3985,0.0504,0.1975,14.620833333333302,11.891666666666701,0.379925452609159,6.89662164769934,7.55,513.9,45.678875627727294,48.5
mer,2907397.9055156372,1911098.333075119,0.1279,0.0472,0.0749,0.75,16.8541666666667,13.4083333333333,0.41770508826583597,6.59887932404687,10.2166666666667,507,53.574932966322905,36.7
mie,3209293.8824563664,2079906.1809056622,0.4864,0.3762,0.0389,0.0985,11.758333333333299,12.2333333333333,0.39335476956055704,6.70555513712099,5.0833333333333295,588.9,38.9552687940663,76.6
moc,3021777.5835554725,2186697.8784521394,0.6874,0.0544,0.2152,0.043,12.3875,12.325,0.413590604026846,6.2678155176773,8.81666666666667,405.20000000000005,34.8701102800104,57.9
cor,3308873.8263377585,2050560.605119386,0.1447,0.4662,0.3401,0.049,10.75,13.016666666666701,0.409329140461216,6.710304152434659,12.549999999999999,599.0999999999999,29.0961653466406,105.39999999999999
mol,2971944.3303727093,2307951.3119061696,0.6943,0.047,0.1195,0.1392,11.8791666666667,11.575,0.431902985074627,5.4604136678682504,6.2,927,40.22510080856699,126
mdd,3261484.4334372506,2177205.8017074703,0.4859,0.391,0.0419,0.0812,9.71666666666667,12.4166666666667,0.41666666666666696,6.16962255119731,3.56666666666667,828.1999999999999,33.2497688713029,115.19999999999999
mos,2867098.333705255,2047777.3680126276,0.3973,0.1093,0.3352,0.1582,14.9541666666667,12.508333333333299,0.407437567861021,6.4350057686395505,8.4,944.4,55.82201297916009,69.2
moa,3555588.2175091626,2198109.1461076457,0.0092,0.959,0.0213,0.0105,8.68333333333333,14.5,0.44753086419753096,6.17418869655002,10.5833333333333,1091.7,19.7960197774761,282
moj,2954859.2339240466,1657377.09779799,0.0449,0.0201,0.9216,0.0133,15.0791666666667,10.475000000000001,0.390858208955224,5.9059083795703105,9.65,959.0999999999999,83.1231084581859,28.900000000000002
mot,2900591.6557808286,1830587.839409171,0.0376,0.0293,0.0531,0.8799,15.7791666666667,12.491666666666701,0.406894679695983,6.413283740279489,9.45,607,58.9770327770161,36.7
mof,3611774.8084593927,2178151.749257836,0.0692,0.8522,0.0265,0.0521,10.3416666666667,14.266666666666701,0.437627811860941,6.58786188701799,15.45,651.5,26.9822705163716,194.60000000000002
mon,3057976.4749786276,1783615.207522331,0.3456,0.1404,0.0861,0.428,17.224999999999998,13.600000000000001,0.421052631578947,6.72243530007068,10.3,587.8,63.0279221674818,32.400000000000006
moe,3685221.3285405636,2107288.2393643875,0.1144,0.6264,0.0262,0.233,8.97916666666667,8.291666666666671,0.348389355742297,5.71129098339156,10.033333333333301,875,22.5168730739055,207.60000000000002
moz,3505163.6954719545,2143193.294129682,0.0919,0.7913,0.0679,0.0489,13.8875,12.7083333333333,0.40862808145766305,6.67233518478964,13.899999999999999,357.8,35.2480461826933,61.8
mdc,3146429.9419319974,1858773.2050028723,0.0287,0.0087,0.9527,0.01,14.275,13.4166666666667,0.39577187807276304,7.2527580960624904,10.049999999999999,414.7,39.7121016100488,50.099999999999994
mor,2971449.429213236,2118684.7144473153,0.0091,0.0096,0.9693,0.0121,12.0833333333333,12.649999999999999,0.414754098360656,6.31006891380512,8.5,546.9,42.505191406787695,57.699999999999996
mdt,3050485.106025342,2175027.4139362425,0.6504,0.0248,0.2756,0.0491,12.3666666666667,12.3666666666667,0.414988814317673,6.2455923852285,8.86666666666667,385.20000000000005,33.7787189704934,52.199999999999996
mun,3053158.355901848,2083477.1631840116,0.7646,0.0481,0.1109,0.0764,11.075,12.566666666666698,0.398941798941799,6.67023578702773,7.25,550.1,32.988234192255405,78.60000000000001
mur,3653580.4573315256,2098898.364573716,0.127,0.7163,0.03,0.1268,11.100000000000001,11.100000000000001,0.384083044982699,6.403727607630359,11.9166666666667,690.1999999999999,26.0713262438761,176.20000000000002
nah,3239440.751515299,2100521.689218405,0.4084,0.3483,0.0445,0.1987,11.7958333333333,13.3416666666667,0.406758130081301,6.9960527290665,7.75,643.6,29.950043740703197,96.30000000000001
nac,3141362.3414474083,2070841.2845013193,0.0126,0.0271,0.9453,0.015,9.045833333333329,9.79166666666667,0.34477699530516404,6.588297418816779,2.8666666666666702,1109.2,45.0456793164011,111.5
nar,3065573.335223408,2151327.633568516,0.6792,0.1462,0.0708,0.1038,12.3458333333333,12.775,0.417483660130719,6.3705094106762905,8.66666666666667,383.2,32.8552507882164,58.4
nag,3126800.642766827,2043771.4560407328,0.7199,0.1957,0.0367,0.0477,13.2666666666667,12.066666666666702,0.39050701186623504,6.73617551775936,9.38333333333333,636.1,46.3655146310939,60.4
nal,3282214.992813515,2154788.0408981033,0.4032,0.2574,0.0611,0.2782,10.4958333333333,13.091666666666699,0.412986330178759,6.66167663625762,12.450000000000001,534,22.997891598881203,106.30000000000001
